files_A,files_B,overlap,overlap_ratio,total_changed_lines_A,total_changed_lines_B,total_overlap_ranges,total_overlap_lines,same_file_line_overlap_ratio,max_file_overlap,same_file_churn,churn,conflict
50,2,0,0.0,4863,22,0,0,0.0,0,0,8.494129251817686,0
13,17,1,0.034482758620689655,564,943,0,0,0.0,0,5,7.318539548567902,0
66,5,1,0.014285714285714285,5479,337,0,0,0.0,0,6,8.668539943910762,0
2,8,0,0.0,46,328,0,0,0.0,0,0,5.926926025970411,0
17,8,0,0.0,947,328,0,0,0.0,0,0,7.151485463904735,0
31,0,0,0.0,1880,0,0,0,0.0,0,0,7.53955882930103,0
5,11,1,0.06666666666666667,337,156,1,7,0.014198782961460446,7,24,6.202535517187923,0
93,24,24,0.25806451612903225,5847,715,42,790,0.12039012496190186,109,86,8.789203094473724,1
96,6,2,0.02,11107,916,4,126,0.010479913499126674,60,8,9.39465993143281,0
27,1,0,0.0,6724,2,0,0,0.0,0,0,8.813884558025606,0
2,273,2,0.007326007326007326,187,8756,16,286,0.03198031980319803,65,32,9.09873819539488,0
251,17,11,0.042801556420233464,10705,328,25,256,0.02320311791897036,29,130,9.308736693832376,1
129,3,0,0.0,4635,342,0,0,0.0,0,0,8.512783482927537,0
320,3,3,0.009375,22269,535,3,546,0.02394316786528679,295,6,10.034735089145801,1
0,155,0,0.0,0,11878,0,0,0.0,0,0,9.38252741428954,0
0,486,0,0.0,0,34983,0,0,0.0,0,0,10.462646093092756,0
3,6,0,0.0,84,58,0,0,0.0,0,0,4.962844630259907,0
393,4,0,0.0,6284,48,0,0,0.0,0,0,8.753529336516431,0
392,1,1,0.002551020408163265,6274,4,0,0,0.0,0,2,8.744966011114109,0
62,1,0,0.0,5347,6,0,0,0.0,0,0,8.585599224080298,0
23,8,1,0.03333333333333333,908,80,0,0,0.0,0,27,6.8966943316227125,0
2,1,0,0.0,6,51,0,0,0.0,0,0,4.060443010546419,0
160,1,0,0.0,9784,18,0,0,0.0,0,0,9.190443740261726,0
134,3,1,0.007352941176470588,13848,250,7,159,0.011278195488721804,93,14,9.55385915186536,0
164,9,7,0.04216867469879518,17168,228,11,78,0.004483789376868246,16,32,9.764053056544551,1
212,2,1,0.004694835680751174,18449,4,0,0,0.0,0,4,9.8230364281385,0
